date,sum
2020/3/16,4633.5
2020/3/17,7489
2020/3/18,6424
2020/3/19,8280
2020/3/20,12273.5
2020/3/21,13076.5
2020/3/22,11604.5
2020/3/23,5422.5
2020/3/24,5895.5
2020/3/25,2649
2020/3/26,2498.5
2020/3/27,5865
2020/3/28,3354
2020/3/29,2181.5
2020/3/30,2802.5
2020/3/31,1946.5
2020/4/1,1613.5
2020/4/2,1260
2020/4/3,2149
2020/4/4,2691.5
2020/4/5,5498.5
2020/4/6,7882
2020/4/7,6895
2020/4/8,5254.5
2020/4/9,3042.5
2020/4/10,3875
2020/4/11,5787
2020/4/12,2019
2020/4/13,1514.5
2020/4/14,1422
2020/4/15,1376.5
2020/4/16,1304.5
2020/4/17,1119
2020/4/18,1538.5
2020/4/19,992
2020/4/20,963.5
2020/4/21,938.5
2020/4/22,1271
2020/4/23,2296.5
2020/4/24,3384
2020/4/25,540
2020/4/26,1077.5
2020/4/27,202
2020/4/28,1133.5
2020/4/29,1258
2020/4/30,1015
2020/5/1,1787.5
2020/5/2,1096
2020/5/3,2382
2020/5/4,678
2020/5/5,1219
2020/5/6,765
2020/5/7,1549.5
2020/5/8,818.5
2020/5/9,791
2020/5/10,870.5
2020/5/11,1002
2020/5/12,481
2020/5/13,945.5
2020/5/14,485.5
2020/5/15,
2020/5/16,
2020/5/17,
